date,player_name,clubs_mentioned
1 June 2021,Nuno Espirito Santo,['Everton']
1 June 2021,Eddie Howe,['Everton']
1 June 2021,David Moyes,['Everton']
1 June 2021,Cristiano Ronaldo,"['Manchester United', 'Juventus']"
1 June 2021,Raheem Sterling,"['Manchester City', 'Tottenham']"
1 June 2021,Benjamin Mendy,"['Manchester City', 'Aston Villa']"
1 June 2021,Aymeric Laporte,['Manchester City']
1 June 2021,Harry Kane,['Tottenham']
1 June 2021,Jack Grealish,['Aston Villa']
1 June 2021,Harry Kane,"['Paris St-Germain', 'Tottenham']"
1 June 2021,Pochettino,"['Spurs', 'PSG']"
1 June 2021,Gabriel Jesus,"['Manchester City', 'Spurs']"
1 June 2021,Nathan Ake,['Spurs']
1 June 2021,Harry Kane,"['Manchester United', 'West Ham']"
1 June 2021,Jack Grealish,['Manchester United']
1 June 2021,Declan Rice,"['Manchester United', 'West Ham']"
1 June 2021,Sergio Ramos,"['Real Madrid', 'Manchester City']"
1 June 2021,Sergi Roberto,"['Manchester City', 'Barcelona']"
1 June 2021,Fikayo Tomori,"['Chelsea', 'AC Milan']"
1 June 2021,Thomas Tuchel,['Chelsea']
1 June 2021,Odsonne Edouard,"['Leicester City', 'Celtic']"
1 June 2021,Tammy Abraham,"['Newcastle United', 'Chelsea']"
1 June 2021,Billy Gilmour,"['Newcastle United', 'Chelsea']"
1 June 2021,Xherdan Shaqiri,['Liverpool']
1 June 2021,Divock Origi,['Liverpool']
1 June 2021,Philippe Coutinho,"['Barcelona', 'Liverpool']"
1 June 2021,Raphael Varane,"['Chelsea', 'Manchester United', 'Real Madrid']"
1 June 2021,Eden Hazard,"['Real Madrid', 'Premier League']"
1 June 2021,Robert Lewandowski,"['Bayern Munich', 'Chelsea', 'Barcelona', 'Real Madrid']"
1 June 2021,Olivier Giroud,"['AC Milan', 'Chelsea']"
1 June 2021,Pedro,"['Everton', 'Chelsea', 'Roma']"
1 June 2021,Kevin Phillips,"['Leicester City', 'Liverpool']"
1 June 2021,Matteo Guendouzi,"['Arsenal', 'Marseille']"
1 June 2021,Freddie Woodman,"['Southampton', 'Celtic']"
1 June 2021,Ruben Vinagre,"['Wolves', 'Sporting Lisbon']"
1 June 2021,Yangel Herrera,"['Sporting', 'Manchester City', 'Granada']"
1 June 2021,Maurizio Sarri,"['Lazio', 'Chelsea']"
1 June 2021,Simone Inzaghi,['Inter Milan']
1 June 2021,Achraf Hakimi,['Inter Milan']
1 June 2021,Lautaro Martinez,['Inter Milan']
2 June 2021,Steven Gerrard,"['Everton', 'Rangers']"
2 June 2021,Rafael Benitez,"['Everton', 'Liverpool']"
2 June 2021,Carlo Ancelotti,['Everton']
2 June 2021,Jamie Carragher,"['Liverpool', 'Everton']"
2 June 2021,Nuno,['Crystal Palace']
2 June 2021,Moise Kean,"['Everton', 'Paris St-Germain']"
2 June 2021,Lionel Messi,Barcelona
2 June 2021,Raheem Sterling,"['Arsenal', 'Manchester City']"
2 June 2021,Harry Kane,"['Tottenham', 'City']"
2 June 2021,Jules Kounde,"['Manchester United', 'Sevilla', 'Barcelona']"
2 June 2021,Andre Onana,"['Arsenal', 'Ajax']"
2 June 2021,Albert Sambi Lokonga,"['Arsenal', 'Anderlecht']"
2 June 2021,Romelu Lukaku,"['Chelsea', 'Inter Milan']"
2 June 2021,Thomas Tuchel,Chelsea
2 June 2021,Miralem Pjanic,"['Barcelona', 'Juventus']"
2 June 2021,Gianluigi Donnarumma,"['AC Milan', 'Roma']"
2 June 2021,Boubakary Soumare,"['Leicester City', 'Lille']"
2 June 2021,Alan Velasco,"['Brighton', 'Newcastle United']"
2 June 2021,Pedro Goncalves,"['Manchester United', 'Sporting Lisbon']"
2 June 2021,Romain Perraud,"['Leeds United', 'Stade Brest']"
2 June 2021,Dion Sanderson,"['Sunderland', 'Wolves']"
3 June 2021,Kylian Mbappe,"['Real Madrid', 'Paris St-Germain']"
3 June 2021,Cristiano Ronaldo,"['Paris St-Germain', 'Juventus']"
3 June 2021,Mauro Icardi,"['Paris St-Germain', 'Juventus']"
3 June 2021,Jose Mourinho,"['Real Madrid', 'Tottenham', 'Roma']"
3 June 2021,Romelu Lukaku,"['Chelsea', 'Inter Milan']"
3 June 2021,Memphis Depay,"['Barcelona', 'Lyon']"
3 June 2021,Georginio Wijnaldum,['Liverpool']
3 June 2021,Bernardo Silva,['Manchester City']
3 June 2021,Michy Batshuayi,"['Chelsea', 'Premier League']"
3 June 2021,Adrian,"['Liverpool', 'Real Betis']"
3 June 2021,Kieran Trippier,"['Manchester United', 'Atletico Madrid']"
3 June 2021,Chris Wood,"['Aston Villa', 'Burnley']"
3 June 2021,Emile Smith Rowe,"['Arsenal', 'Villa']"
3 June 2021,Emi Buendia,"['Norwich', 'Villa']"
3 June 2021,Duncan Ferguson,"['Everton', 'Goodison Park']"
3 June 2021,Olivier Giroud,"['West Ham', 'New York City']"
